"dt","LandAverageTemperature"
2006-08-01,14.913
2006-09-01,12.875
2006-10-01,10.289
2006-11-01,6.955
2006-12-01,4.987
2007-01-01,4.579
2007-02-01,4.221
2007-03-01,6.485
2007-04-01,9.823
2007-05-01,12.518
2007-06-01,14.309
2007-07-01,15.23
2007-08-01,14.752
2007-09-01,12.93
2007-10-01,10.332
2007-11-01,7.084
2007-12-01,4.523
2008-01-01,2.844
2008-02-01,3.576
2008-03-01,6.906
2008-04-01,9.295
2008-05-01,12.054
2008-06-01,14.145
2008-07-01,15.174
2008-08-01,14.377
2008-09-01,12.802
2008-10-01,10.399
2008-11-01,7.224
2008-12-01,4.385
2009-01-01,3.687
2009-02-01,4.094
2009-03-01,6.086
2009-04-01,9.367
2009-05-01,12.112
2009-06-01,14.201
2009-07-01,15.231
2009-08-01,14.655
2009-09-01,13.153
2009-10-01,10.136
2009-11-01,7.031
2009-12-01,4.31
2010-01-01,3.737
2010-02-01,4.399
2010-03-01,6.738
2010-04-01,9.671
2010-05-01,12.406
2010-06-01,14.421
2010-07-01,15.213
2010-08-01,14.768
2010-09-01,12.863
2010-10-01,10.442
2010-11-01,7.487
2010-12-01,4.292
2011-01-01,3.282
2011-02-01,3.743
2011-03-01,6.101
2011-04-01,9.483
2011-05-01,11.986
2011-06-01,14.37
2011-07-01,15.482
2011-08-01,15.012
2011-09-01,12.912
2011-10-01,10.352
2011-11-01,6.814
2011-12-01,4.655
2012-01-01,3.157
2012-02-01,3.628
2012-03-01,6.023
2012-04-01,9.676
2012-05-01,12.59
2012-06-01,14.492
2012-07-01,15.076
2012-08-01,14.72
2012-09-01,13.04
2012-10-01,10.428
2012-11-01,7.156
2012-12-01,4.102
2013-01-01,3.685
2013-02-01,4.222
2013-03-01,6.261
2013-04-01,9.044
2013-05-01,12.195
2013-06-01,14.568
2013-07-01,15.003
2013-08-01,14.742
2013-09-01,13.154
2013-10-01,10.256
2013-11-01,7.424
2013-12-01,4.724
2014-01-01,3.732
2014-02-01,3.5
2014-03-01,6.378
2014-04-01,9.589
2014-05-01,12.582
2014-06-01,14.335
2014-07-01,14.873
2014-08-01,14.875
2014-09-01,13.091
2014-10-01,10.33
2014-11-01,6.713
2014-12-01,4.85
2015-01-01,3.881
2015-02-01,4.664
2015-03-01,6.74
2015-04-01,9.313
2015-05-01,12.312
2015-06-01,14.505
2015-07-01,15.051
2015-08-01,14.755
2015-09-01,12.999
2015-10-01,10.801
2015-11-01,7.433
2015-12-01,5.518
