pais,anio,esperanza_de_vida,poblacion,pib_per_capita
República Checa,1997,74.01,10300707,16048.51424
República Checa,2002,75.51,10256295,17596.21022
República Checa,2007,76.486,10228744,22833.30851
Dinamarca,1952,70.78,4334000,9692.385245
Dinamarca,1957,71.81,4487831,11099.65935
Dinamarca,1962,72.35,4646899,13583.31351
Dinamarca,1967,72.96,4838800,15937.21123
Dinamarca,1972,73.47,4991596,18866.20721
Dinamarca,1977,74.69,5088419,20422.9015
Dinamarca,1982,74.63,5117810,21688.04048
Dinamarca,1987,74.8,5127024,25116.17581
Dinamarca,1992,75.33,5171393,26406.73985
Dinamarca,1997,76.11,5283663,29804.34567
Dinamarca,2002,77.18,5374693,32166.50006
Dinamarca,2007,78.332,5468120,35278.41874
Finlandia,1952,66.55,4090500,6424.519071
Finlandia,1957,67.49,4324000,7545.415386
Finlandia,1962,68.75,4491443,9371.842561
Finlandia,1967,69.83,4605744,10921.63626
Finlandia,1972,70.87,4639657,14358.8759
Finlandia,1977,72.52,4738902,15605.42283
Finlandia,1982,74.55,4826933,18533.15761
Finlandia,1987,74.83,4931729,21141.01223
Finlandia,1992,75.7,5041039,20647.16499
Finlandia,1997,77.13,5134406,23723.9502
Finlandia,2002,78.37,5193039,28204.59057
Finlandia,2007,79.313,5238460,33207.0844
Francia,1952,67.41,42459667,7029.809327
Francia,1957,68.93,44310863,8662.834898
Francia,1962,70.51,47124000,10560.48553
Francia,1967,71.55,49569000,12999.91766
Francia,1972,72.38,51732000,16107.19171
Francia,1977,73.83,53165019,18292.63514
Francia,1982,74.89,54433565,20293.89746
Francia,1987,76.34,55630100,22066.44214
Francia,1992,77.46,57374179,24703.79615
Francia,1997,78.64,58623428,25889.78487
Francia,2002,79.59,59925035,28926.03234
Francia,2007,80.657,61083916,30470.0167
Alemania,1952,67.5,69145952,7144.114393
Alemania,1957,69.1,71019069,10187.82665
Alemania,1962,70.3,73739117,12902.46291
Alemania,1967,70.8,76368453,14745.62561
Alemania,1972,71,78717088,18016.18027
Alemania,1977,72.5,78160773,20512.92123
Alemania,1982,73.8,78335266,22031.53274
Alemania,1987,74.847,77718298,24639.18566
Alemania,1992,76.07,80597764,26505.30317
Alemania,1997,77.34,82011073,27788.88416
Alemania,2002,78.67,82350671,30035.80198
Alemania,2007,79.406,82400996,32170.37442
Grecia,1952,65.86,7733250,3530.690067
Grecia,1957,67.86,8096218,4916.299889
Grecia,1962,69.51,8448233,6017.190733
Grecia,1967,71,8716441,8513.097016
Grecia,1972,72.34,8888628,12724.82957
Grecia,1977,73.68,9308479,14195.52428
Grecia,1982,75.24,9786480,15268.42089
Grecia,1987,76.67,9974490,16120.52839
Grecia,1992,77.03,10325429,17541.49634
Grecia,1997,77.869,10502372,18747.69814
Grecia,2002,78.256,10603863,22514.2548
Grecia,2007,79.483,10706290,27538.41188
Hungría,1952,64.03,9504000,5263.673816
Hungría,1957,66.41,9839000,6040.180011
Hungría,1962,67.96,10063000,7550.359877
Hungría,1967,69.5,10223422,9326.64467
Hungría,1972,69.76,10394091,10168.65611
Hungría,1977,69.95,10637171,11674.83737
Hungría,1982,69.39,10705535,12545.99066
Hungría,1987,69.58,10612740,12986.47998
Hungría,1992,69.17,10348684,10535.62855
Hungría,1997,71.04,10244684,11712.7768
Hungría,2002,72.59,10083313,14843.93556
Hungría,2007,73.338,9956108,18008.94444
Islandia,1952,72.49,147962,7267.688428
Islandia,1957,73.47,165110,9244.001412
Islandia,1962,73.68,182053,10350.15906
Islandia,1967,73.73,198676,13319.89568
Islandia,1972,74.46,209275,15798.06362
Islandia,1977,76.11,221823,19654.96247
Islandia,1982,76.99,233997,23269.6075
Islandia,1987,77.23,244676,26923.20628
Islandia,1992,78.77,259012,25144.39201
Islandia,1997,78.95,271192,28061.09966
Islandia,2002,80.5,288030,31163.20196
Islandia,2007,81.757,301931,36180.78919
Irlanda,1952,66.91,2952156,5210.280328
Irlanda,1957,68.9,2878220,5599.077872
Irlanda,1962,70.29,2830000,6631.597314
Irlanda,1967,71.08,2900100,7655.568963
Irlanda,1972,71.28,3024400,9530.772896
Irlanda,1977,72.03,3271900,11150.98113
Irlanda,1982,73.1,3480000,12618.32141
Irlanda,1987,74.36,3539900,13872.86652
Irlanda,1992,75.467,3557761,17558.81555
Irlanda,1997,76.122,3667233,24521.94713
Irlanda,2002,77.783,3879155,34077.04939
Irlanda,2007,78.885,4109086,40675.99635
Italia,1952,65.94,47666000,4931.404155
Italia,1957,67.81,49182000,6248.656232
Italia,1962,69.24,50843200,8243.58234
Italia,1967,71.06,52667100,10022.40131
Italia,1972,72.19,54365564,12269.27378
Italia,1977,73.48,56059245,14255.98475
Italia,1982,74.98,56535636,16537.4835
Italia,1987,76.42,56729703,19207.23482
Italia,1992,77.44,56840847,22013.64486
Italia,1997,78.82,57479469,24675.02446
Italia,2002,80.24,57926999,27968.09817
Italia,2007,80.546,58147733,28569.7197
Montenegro,1952,59.164,413834,2647.585601
Montenegro,1957,61.448,442829,3682.259903
Montenegro,1962,63.728,474528,4649.593785
Montenegro,1967,67.178,501035,5907.850937
Montenegro,1972,70.636,527678,7778.414017
Montenegro,1977,73.066,560073,9595.929905
Montenegro,1982,74.101,562548,11222.58762
Montenegro,1987,74.865,569473,11732.51017
Montenegro,1992,75.435,621621,7003.339037
Montenegro,1997,75.445,692651,6465.613349
Montenegro,2002,73.981,720230,6557.194282
Montenegro,2007,74.543,684736,9253.896111
Países Bajos,1952,72.13,10381988,8941.571858
Países Bajos,1957,72.99,11026383,11276.19344
Países Bajos,1962,73.23,11805689,12790.84956
Países Bajos,1967,73.82,12596822,15363.25136
Países Bajos,1972,73.75,13329874,18794.74567
Países Bajos,1977,75.24,13852989,21209.0592
Países Bajos,1982,76.05,14310401,21399.46046
Países Bajos,1987,76.83,14665278,23651.32361
Países Bajos,1992,77.42,15174244,26790.94961
Países Bajos,1997,78.03,15604464,30246.13063
Países Bajos,2002,78.53,16122830,33724.75778
Países Bajos,2007,79.762,16570613,36797.93332
Noruega,1952,72.67,3327728,10095.42172
Noruega,1957,73.44,3491938,11653.97304
Noruega,1962,73.47,3638919,13450.40151
Noruega,1967,74.08,3786019,16361.87647
Noruega,1972,74.34,3933004,18965.05551
Noruega,1977,75.37,4043205,23311.34939
Noruega,1982,75.97,4114787,26298.63531
Noruega,1987,75.89,4186147,31540.9748
Noruega,1992,77.32,4286357,33965.66115
Noruega,1997,78.32,4405672,41283.16433
Noruega,2002,79.05,4535591,44683.97525
Noruega,2007,80.196,4627926,49357.19017
Polonia,1952,61.31,25730551,4029.329699
Polonia,1957,65.77,28235346,4734.253019
Polonia,1962,67.64,30329617,5338.752143
Polonia,1967,69.61,31785378,6557.152776
Polonia,1972,70.85,33039545,8006.506993
Polonia,1977,70.67,34621254,9508.141454
Polonia,1982,71.32,36227381,8451.531004
Polonia,1987,70.98,37740710,9082.351172
Polonia,1992,70.99,38370697,7738.881247
Polonia,1997,72.75,38654957,10159.58368
Polonia,2002,74.67,38625976,12002.23908
Polonia,2007,75.563,38518241,15389.92468
Portugal,1952,59.82,8526050,3068.319867
Portugal,1957,61.51,8817650,3774.571743
Portugal,1962,64.39,9019800,4727.954889
Portugal,1967,66.6,9103000,6361.517993
Portugal,1972,69.26,8970450,9022.247417
Portugal,1977,70.41,9662600,10172.48572
Portugal,1982,72.77,9859650,11753.84291
Portugal,1987,74.06,9915289,13039.30876
Portugal,1992,74.86,9927680,16207.26663
Portugal,1997,75.97,10156415,17641.03156
Portugal,2002,77.29,10433867,19970.90787
Portugal,2007,78.098,10642836,20509.64777
Rumania,1952,61.05,16630000,3144.613186
Rumania,1957,64.1,17829327,3943.370225
Rumania,1962,66.8,18680721,4734.997586
Rumania,1967,66.8,19284814,6470.866545
Rumania,1972,69.21,20662648,8011.414402
Rumania,1977,69.46,21658597,9356.39724
Rumania,1982,69.66,22356726,9605.314053
Rumania,1987,69.53,22686371,9696.273295
Rumania,1992,69.36,22797027,6598.409903
Rumania,1997,69.72,22562458,7346.547557
Rumania,2002,71.322,22404337,7885.360081
Rumania,2007,72.476,22276056,10808.47561
Serbia,1952,57.996,6860147,3581.459448
Serbia,1957,61.685,7271135,4981.090891
Serbia,1962,64.531,7616060,6289.629157
Serbia,1967,66.914,7971222,7991.707066
Serbia,1972,68.7,8313288,10522.06749
Serbia,1977,70.3,8686367,12980.66956
Serbia,1982,70.162,9032824,15181.0927
Serbia,1987,71.218,9230783,15870.87851
Serbia,1992,71.659,9826397,9325.068238
Serbia,1997,72.232,10336594,7914.320304
Serbia,2002,73.213,10111559,7236.075251
Serbia,2007,74.002,10150265,9786.534714
Eslovaquia,1952,64.36,3558137,5074.659104
Eslovaquia,1957,67.45,3844277,6093.26298
Eslovaquia,1962,70.33,4237384,7481.107598
Eslovaquia,1967,70.98,4442238,8412.902397
Eslovaquia,1972,70.35,4593433,9674.167626
Eslovaquia,1977,70.45,4827803,10922.66404
Eslovaquia,1982,70.8,5048043,11348.54585
Eslovaquia,1987,71.08,5199318,12037.26758
Eslovaquia,1992,71.38,5302888,9498.467723
Eslovaquia,1997,72.71,5383010,12126.23065
Eslovaquia,2002,73.8,5410052,13638.77837
Eslovaquia,2007,74.663,5447502,18678.31435
Eslovenia,1952,65.57,1489518,4215.041741
Eslovenia,1957,67.85,1533070,5862.276629
Eslovenia,1962,69.15,1582962,7402.303395
Eslovenia,1967,69.18,1646912,9405.489397
Eslovenia,1972,69.82,1694510,12383.4862
Eslovenia,1977,70.97,1746919,15277.03017
Eslovenia,1982,71.063,1861252,17866.72175
Eslovenia,1987,72.25,1945870,18678.53492
Eslovenia,1992,73.64,1999210,14214.71681
Eslovenia,1997,75.13,2011612,17161.10735
Eslovenia,2002,76.66,2011497,20660.01936
Eslovenia,2007,77.926,2009245,25768.25759
España,1952,64.94,28549870,3834.034742
España,1957,66.66,29841614,4564.80241
España,1962,69.69,31158061,5693.843879
España,1967,71.44,32850275,7993.512294
España,1972,73.06,34513161,10638.75131
España,1977,74.39,36439000,13236.92117
España,1982,76.3,37983310,13926.16997
España,1987,76.9,38880702,15764.98313
España,1992,77.57,39549438,18603.06452
España,1997,78.77,39855442,20445.29896
España,2002,79.78,40152517,24835.47166
España,2007,80.941,40448191,28821.0637
Suecia,1952,71.86,7124673,8527.844662
Suecia,1957,72.49,7363802,9911.878226
Suecia,1962,73.37,7561588,12329.44192
Suecia,1967,74.16,7867931,15258.29697
Suecia,1972,74.72,8122293,17832.02464
Suecia,1977,75.44,8251648,18855.72521
Suecia,1982,76.42,8325260,20667.38125
Suecia,1987,77.19,8421403,23586.92927
Suecia,1992,78.16,8718867,23880.01683
Suecia,1997,79.39,8897619,25266.59499
Suecia,2002,80.04,8954175,29341.63093
Suecia,2007,80.884,9031088,33859.74835
Suiza,1952,69.62,4815000,14734.23275
Suiza,1957,70.56,5126000,17909.48973
Suiza,1962,71.32,5666000,20431.0927
Suiza,1967,72.77,6063000,22966.14432
Suiza,1972,73.78,6401400,27195.11304
Suiza,1977,75.39,6316424,26982.29052
Suiza,1982,76.21,6468126,28397.71512
Suiza,1987,77.41,6649942,30281.70459
Suiza,1992,78.03,6995447,31871.5303
Suiza,1997,79.37,7193761,32135.32301
Suiza,2002,80.62,7361757,34480.95771
Suiza,2007,81.701,7554661,37506.41907
Turquía,1952,43.585,22235677,1969.10098
Turquía,1957,48.079,25670939,2218.754257
Turquía,1962,52.098,29788695,2322.869908
Turquía,1967,54.336,33411317,2826.356387
Turquía,1972,57.005,37492953,3450.69638
Turquía,1977,59.507,42404033,4269.122326
Turquía,1982,61.036,47328791,4241.356344
Turquía,1987,63.108,52881328,5089.043686
Turquía,1992,66.146,58179144,5678.348271
Turquía,1997,68.835,63047647,6601.429915
Turquía,2002,70.845,67308928,6508.085718
Turquía,2007,71.777,71158647,8458.276384
Reino Unido,1952,69.18,50430000,9979.508487
Reino Unido,1957,70.42,51430000,11283.17795
Reino Unido,1962,70.76,53292000,12477.17707
Reino Unido,1967,71.36,54959000,14142.85089
Reino Unido,1972,72.01,56079000,15895.11641
Reino Unido,1977,72.76,56179000,17428.74846
Reino Unido,1982,74.04,56339704,18232.42452
Reino Unido,1987,75.007,56981620,21664.78767
Reino Unido,1992,76.42,57866349,22705.09254
Reino Unido,1997,77.218,58808266,26074.53136
Reino Unido,2002,78.471,59912431,29478.99919
Reino Unido,2007,79.425,60776238,33203.26128
